,skill,count,word_count
1632,tso,12,1
1664,oozie,12,1
659,ceh,12,1
459,ada,12,1
467,plsql,12,1
1767,recruiting,12,1
1685,as400,12,1
2360,10,12,1
2554,sqr,11,1
3710,gl,11,1
1267,optimization,11,1
4498,clojure,11,1
2205,esxi,11,1
812,ubuntu,11,1
6240,budgeting,11,1
1302,z,11,1
409,medicaid,11,1
3152,dlp,11,1
1367,xendesktop,11,1
4634,bsa,11,1
3140,configure,11,1
3698,hyper-v,11,1
7246,jde,11,1
3061,fico,11,1
2295,security+,11,1
1011,sourcing,11,1
6837,staffing,11,1
5469,vsam,11,1
3463,vlan,11,1
4195,vpc,11,1
153,procurement,11,1
2403,mainframe,11,1
2565,xamarin,11,1
4149,hp,11,1
3299,iot,11,1
710,intern,11,1
