,skill,count,word_count,stem skill
1991,tsql,16,1, tsql
937,qlikview,16,1, qlikview
284,aml,16,1, aml
1923,knockout,16,1, knockout
3198,stp,16,1, stp
2100,digital,16,1, digit
3138,strategy,16,1, strategi
1139,a+,15,1, a+
1686,400,15,1, 400
2800,groovy,15,1, groovi
5283,billing,15,1, bill
3380,essbase,15,1, essbas
1286,kanban,15,1, kanban
1774,multimedia,15,1, multimedia
1586,pm,15,1, pm
3835,mongo,15,1, mongo
1680,mac,15,1, mac
1703,ide,15,1, ide
1544,jmeter,15,1, jmeter
552,ards,15,1, ard
1500,vdi,15,1, vdi
304,audit,15,1, audit
1073,redux,15,1, redux
717,rails,14,1, rail
3511,requirements,14,1, requir
5475,insurance,14,1, insur
2309,messaging,14,1, messag
1961,communication,14,1, commun
1859,mm,14,1, mm
6820,manufacturing,14,1, manufactur
4575,cloudera,14,1, cloudera
3568,npm,14,1, npm
4588,checkpoint,14,1, checkpoint
324,rational,14,1, ration
1248,rtos,14,1, rto
2150,grunt,14,1, grunt
1714,migration,14,1, migrat
2038,erwin,14,1, erwin
114,redshift,14,1, redshift
660,cryptography,14,1, cryptographi
2986,st,14,1, st
1285,safe,14,1, safe
1824,avaya,14,1, avaya
4114,axure,14,1, axur
292,unity,14,1, uniti
4955,imaging,14,1, imag
3341,environmental,14,1, environment
502,framework,14,1, framework
3060,fi,13,1, fi
463,dhtml,13,1, dhtml
3338,technology,13,1, technolog
6705,office,13,1, offic
2883,3d,13,1, 3d
2912,pmo,13,1, pmo
2747,obiee,13,1, obie
2629,bw,13,1, bw
3309,payments,13,1, payment
2808,7,13,1, 7
3486,kubernetes,13,1, kubernet
4445,anti-virus,13,1, anti-viru
2306,flume,13,1, flume
6217,distribution,13,1, distribut
2179,statistics,13,1, statist
1965,webapi,13,1, webapi
1053,hyperion,13,1, hyperion
4223,xenapp,13,1, xenapp
4295,vcenter,13,1, vcenter
4380,maintenance,13,1, mainten
631,ooad,13,1, ooad
170,pharma,13,1, pharma
728,mssql,13,1, mssql
4761,dashboards,13,1, dashboard
135,xsl,13,1, xsl
851,wireframes,13,1, wirefram
3676,nist,13,1, nist
1969,clarity,12,1, clariti
1135,cabling,12,1, cabl
2812,clearcase,12,1, clearcas
1332,lean,12,1, lean
1853,cgi,12,1, cgi
1342,pricing,12,1, price
2865,extjs,12,1, extj
1482,mcsa,12,1, mcsa
556,next,12,1, next
4357,trading,12,1, trade
569,vm,12,1, vm
1533,antivirus,12,1, antiviru
5497,audio,12,1, audio
5131,ems,12,1, em
3107,c#.net,12,1, c # .net
3635,qtp,12,1, qtp
243,dem,12,1, dem
1672,ftp,12,1, ftp
1148,sonet,12,1, sonet
1632,tso,12,1, tso
1664,oozie,12,1, oozi
659,ceh,12,1, ceh
459,ada,12,1, ada
467,plsql,12,1, plsql
1685,as400,12,1, as400
2360,10,12,1, 10
2554,sqr,11,1, sqr
3710,gl,11,1, gl
1267,optimization,11,1, optim
4498,clojure,11,1, clojur
2205,esxi,11,1, esxi
812,ubuntu,11,1, ubuntu
6240,budgeting,11,1, budget
1302,z,11,1, z
409,medicaid,11,1, medicaid
3152,dlp,11,1, dlp
1367,xendesktop,11,1, xendesktop
4634,bsa,11,1, bsa
3698,hyper-v,11,1, hyper-v
7246,jde,11,1, jde
3061,fico,11,1, fico
2295,security+,11,1, security+
1011,sourcing,11,1, sourc
6837,staffing,11,1, staf
5469,vsam,11,1, vsam
3463,vlan,11,1, vlan
4195,vpc,11,1, vpc
153,procurement,11,1, procur
2403,mainframe,11,1, mainfram
2565,xamarin,11,1, xamarin
4149,hp,11,1, hp
3299,iot,11,1, iot
710,intern,11,1, intern
